step,robot_task_count,task_count,timestamp,h_action
0,0,0,1563362592.6832561,
1,0,0,1563362707.8827891,0.0
2,0,0,1563362713.227756,2.0
3,0,0,1563362715.230159,1.0
4,0,0,1563362719.2915971,1.0
5,0,0,1563362721.293677,3.0
6,0,0,1563362724.443447,3.0
7,0,0,1563362725.8945112,1.0
8,0,0,1563362726.749911,1.0
9,0,0,1563362727.751169,0.0
10,0,0,1563362730.056478,2.0
11,0,0,1563362734.297693,2.0
12,0,0,1563362736.3457658,2.0
13,0,0,1563362785.219656,2.0
14,0,0,1563362787.88644,2.0
15,0,0,1563362789.6864011,2.0
16,0,0,1563362793.275336,2.0
17,0,0,1563362794.670422,0.0
18,0,0,1563362796.369357,0.0
19,0,0,1563362798.2028239,3.0
20,0,0,1563362800.1153631,3.0
21,0,0,1563362802.027882,3.0
22,0,0,1563362803.579617,0.0
23,0,0,1563362805.25634,2.0
24,0,0,1563362806.865015,1.0
25,0,0,1563362807.8549461,1.0
26,0,0,1563362809.216191,2.0
27,0,0,1563362810.926081,3.0
28,0,0,1563362818.373471,0.0
29,0,0,1563362819.925592,3.0
30,0,0,1563362821.096079,0.0
31,0,0,1563362822.636526,1.0
32,0,0,1563362823.716644,1.0
33,0,0,1563362824.560016,1.0
34,0,0,1563362825.820765,3.0
35,0,0,1563362826.889471,3.0
36,0,0,1563362827.822926,3.0
37,0,0,1563362828.621517,3.0
38,0,0,1563362829.8475819,1.0
39,0,0,1563362830.2982678,1.0
40,0,0,1563362830.792883,1.0
41,0,0,1563362832.502888,2.0
42,0,0,1563362833.560651,2.0
43,0,0,1563362834.314656,2.0
44,0,0,1563362836.091893,2.0
45,0,0,1563362837.093354,2.0
46,0,0,1563362837.554092,2.0
47,0,0,1563362838.937849,2.0
48,0,0,1563362840.287356,0.0
49,0,0,1563362841.469197,0.0
50,0,0,1563362842.560589,0.0
51,0,0,1563362866.082413,3.0
52,0,0,1563362866.970925,3.0
53,0,0,1563362867.747972,3.0
54,0,0,1563362869.22072,3.0
55,0,0,1563362870.019986,3.0
56,0,0,1563362870.683755,3.0
57,0,0,1563362871.34771,3.0
58,0,0,1563362872.134528,3.0
59,0,0,1563362873.417345,1.0
60,0,0,1563362874.1929758,1.0
61,0,0,1563362875.2850502,1.0
62,0,0,1563362876.882922,3.0
63,0,0,1563362877.6134531,3.0
64,0,0,1563362878.3668401,3.0
65,0,0,1563362879.548563,3.0
66,0,0,1563362881.504967,1.0
67,1,1,1563362883.373197,3.0
68,1,0,1563362915.388696,2.0
69,0,0,1563362923.060197,2.0
70,0,0,1563362924.893423,0.0
71,0,0,1563362926.367532,2.0
72,0,0,1563362927.728731,3.0
73,0,0,1563362928.965983,2.0
74,0,0,1563362930.5749109,1.0
75,0,0,1563362932.1723819,2.0
76,0,0,1563362933.240606,1.0
77,0,0,1563362934.546022,0.0
78,0,0,1563362934.905046,0.0
79,0,0,1563362935.761033,0.0
80,0,0,1563362936.908354,3.0
81,0,0,1563362937.2797272,3.0
82,0,0,1563362937.999764,3.0
83,0,0,1563362939.485037,3.0
84,0,0,1563362941.43099,3.0
85,0,0,1563362942.701513,0.0
86,0,0,1563362944.277092,2.0
87,0,0,1563362945.8183281,0.0
88,0,0,1563362947.0892081,3.0
89,0,0,1563362948.7657468,1.0
90,0,0,1563362949.9131992,3.0
91,0,0,1563362951.150319,0.0
92,0,0,1563362952.534411,1.0
93,0,0,1563362954.953099,3.0
94,0,0,1563362956.483191,1.0
95,0,0,1563362957.248062,2.0
96,0,0,1563362958.226829,3.0
97,0,0,1563362959.440984,0.0
98,0,0,1563362960.622951,1.0
99,1,0,1563362961.849074,2.0
