step,robot_task_count,task_count,timestamp,h_action
0,0,0,1563372376.592698,
1,0,0,1563372469.7733052,3.0
2,1,0,1563372472.226412,2.0
3,1,0,1563372475.14,1.0
4,0,0,1563372477.018688,2.0
5,1,0,1563372478.267048,1.0
6,0,0,1563372479.729822,1.0
7,1,1,1563372481.248616,2.0
8,0,0,1563372484.274712,0.0
9,0,0,1563372486.108303,3.0
10,0,0,1563372487.8971,0.0
11,0,0,1563372489.651427,3.0
12,0,0,1563372492.7906802,0.0
13,0,0,1563372494.4444008,1.0
14,0,0,1563372545.7412941,2.0
15,0,0,1563372547.0459101,0.0
16,0,0,1563372548.126131,3.0
17,0,0,1563372551.8161101,2.0
18,1,1,1563372553.2332978,0.0
19,0,0,1563372558.1048021,1.0
20,0,0,1563372559.814636,2.0
21,0,0,1563372561.242988,1.0
22,0,0,1563372562.908289,2.0
23,0,0,1563372565.1133702,3.0
24,0,0,1563372566.316176,1.0
25,0,0,1563372568.4991722,0.0
26,1,0,1563372569.8716958,1.0
27,1,1,1563372570.928633,2.0
28,0,0,1563372580.851129,3.0
29,0,0,1563372582.246193,2.0
30,0,0,1563372583.2702029,1.0
31,0,0,1563372584.5077372,0.0
32,0,0,1563372585.677783,3.0
33,0,0,1563372586.847611,3.0
34,0,0,1563372588.085151,0.0
35,0,0,1563372589.615786,2.0
36,0,0,1563372590.582552,1.0
37,0,0,1563372591.505023,1.0
38,0,0,1563372592.438717,2.0
39,0,0,1563372593.709954,3.0
40,0,0,1563372595.251188,0.0
41,0,0,1563372596.3086069,3.0
42,0,0,1563372597.6361442,3.0
43,0,0,1563372598.580843,0.0
44,0,0,1563372599.739794,1.0
45,0,0,1563372601.0785449,0.0
46,0,0,1563372603.384655,2.0
47,0,0,1563372605.0497391,0.0
48,0,0,1563372605.825956,3.0
49,0,0,1563372606.197131,3.0
50,0,0,1563372607.187815,3.0
51,0,0,1563372647.1327622,0.0
52,0,0,1563372648.2019148,3.0
53,0,0,1563372649.270571,0.0
54,1,0,1563372650.586808,1.0
55,1,1,1563372652.645207,3.0
56,0,0,1563372659.259797,1.0
57,0,0,1563372660.8919659,2.0
58,0,0,1563372663.557158,3.0
59,0,0,1563372664.693446,2.0
60,0,0,1563372666.031646,1.0
61,0,0,1563372667.584605,2.0
62,0,0,1563372672.500334,3.0
63,0,0,1563372675.2343638,1.0
64,0,0,1563372676.7080572,1.0
65,0,0,1563372678.586428,2.0
66,0,0,1563372679.4642282,2.0
67,0,0,1563372680.7018418,0.0
68,1,1,1563372682.2991989,2.0
69,0,0,1563372691.861221,3.0
70,0,0,1563372693.7512908,2.0
71,0,0,1563372694.696298,3.0
72,0,0,1563372696.303807,0.0
73,0,0,1563372697.238616,3.0
74,0,0,1563372698.9261281,0.0
75,1,1,1563372699.612553,0.0
76,0,0,1563372704.3260942,1.0
77,0,0,1563372705.732285,1.0
78,0,0,1563372706.5422359,1.0
79,0,0,1563372707.993537,2.0
80,0,0,1563372708.983485,1.0
81,0,0,1563372710.6934452,0.0
82,0,0,1563372711.548411,3.0
83,0,0,1563372712.448312,2.0
84,0,0,1563372713.1796072,1.0
85,0,0,1563372713.8207,1.0
86,0,0,1563372716.5328991,0.0
87,0,0,1563372717.6003442,3.0
88,0,0,1563372718.220288,3.0
89,0,0,1563372719.1982982,0.0
90,0,0,1563372720.2331898,3.0
91,0,0,1563372720.863272,0.0
92,0,0,1563372722.179852,0.0
93,0,0,1563372723.405757,3.0
94,0,0,1563372724.643092,2.0
95,0,0,1563372725.621563,0.0
96,0,0,1563372727.050615,0.0
97,0,0,1563372731.1337202,3.0
98,0,0,1563372732.124322,0.0
99,0,0,1563372732.9556422,0.0
