step,robot_task_count,task_count,timestamp,h_action
0,0,0,1563360879.0777159,
1,0,0,1563360990.980052,1.0
2,0,0,1563360996.105438,2.0
3,0,0,1563360998.490769,2.0
4,0,0,1563361017.33544,3.0
5,1,0,1563361018.730966,3.0
6,1,0,1563361020.673003,0.0
7,1,0,1563361021.272305,0.0
8,1,1,1563361021.971807,0.0
9,0,0,1563361030.4224582,3.0
10,1,0,1563361032.898329,2.0
11,0,0,1563361067.354351,1.0
12,0,0,1563361068.838119,2.0
13,0,0,1563361071.920557,1.0
14,0,0,1563361075.9631581,3.0
15,0,0,1563361077.454368,3.0
16,0,0,1563361078.7896252,1.0
17,0,0,1563361079.478878,1.0
18,0,0,1563361086.658916,0.0
19,0,0,1563361088.0137038,0.0
20,0,0,1563361089.390979,3.0
21,0,0,1563361089.939834,3.0
22,0,0,1563361091.538433,3.0
23,0,0,1563361093.063311,0.0
24,1,1,1563361094.825845,0.0
25,1,1,1563361099.013191,3.0
26,0,0,1563361113.844409,0.0
27,0,0,1563361115.615815,1.0
28,0,0,1563361118.909251,0.0
29,0,0,1563361120.1969652,3.0
30,0,0,1563361121.1728928,3.0
31,0,0,1563361122.762638,3.0
32,0,0,1563361125.853033,2.0
33,0,0,1563361128.5163798,2.0
34,0,0,1563361129.319937,2.0
35,0,0,1563361131.0175512,0.0
36,0,0,1563361131.78635,0.0
37,0,0,1563361132.656542,0.0
38,0,0,1563361133.713356,0.0
39,0,0,1563361134.373114,0.0
40,0,0,1563361135.179801,0.0
41,0,0,1563361135.771831,0.0
42,0,0,1563361136.451415,0.0
43,0,0,1563361141.596304,2.0
44,0,0,1563361142.383502,2.0
45,0,0,1563361144.927398,0.0
46,0,0,1563361145.50877,0.0
47,1,1,1563361146.498136,0.0
48,0,0,1563361149.6543932,3.0
49,1,0,1563361150.351678,3.0
50,0,0,1563361150.981649,3.0
51,0,0,1563361196.947911,3.0
52,0,0,1563361200.899907,3.0
53,0,0,1563361205.59997,3.0
54,0,0,1563361206.845737,3.0
55,0,0,1563361208.165788,2.0
56,0,0,1563361208.764671,2.0
57,0,0,1563361210.002004,0.0
58,0,0,1563361212.6503758,0.0
59,0,0,1563361213.397244,0.0
60,1,1,1563361213.977671,0.0
61,0,0,1563361215.986917,0.0
62,0,0,1563361217.1355278,3.0
63,1,1,1563361218.2016032,3.0
64,0,0,1563361221.241594,0.0
65,0,0,1563361222.143301,0.0
66,0,0,1563361223.455511,3.0
67,0,0,1563361224.257775,3.0
68,0,0,1563361225.364112,0.0
69,0,0,1563361227.0783281,0.0
70,0,0,1563361227.9240131,0.0
71,0,0,1563361228.9946089,0.0
72,0,0,1563361229.61921,0.0
73,0,0,1563361230.921966,2.0
74,0,0,1563361231.4137821,2.0
75,0,0,1563361232.176192,2.0
76,0,0,1563361234.841182,0.0
77,0,0,1563361235.504535,0.0
78,0,0,1563361239.594778,2.0
79,0,0,1563361240.355312,2.0
80,0,0,1563361241.618151,0.0
81,0,0,1563361242.223955,0.0
82,0,0,1563361243.3228428,0.0
83,0,0,1563361247.1908429,1.0
84,0,0,1563361247.854374,1.0
85,0,0,1563361249.0721831,1.0
86,0,0,1563361250.396124,2.0
87,0,0,1563361250.94501,2.0
88,0,0,1563361251.503946,2.0
89,0,0,1563361253.494255,2.0
90,1,0,1563361254.5932539,3.0
91,0,0,1563361254.986965,3.0
92,0,0,1563361256.731955,3.0
93,0,0,1563361257.8070111,0.0
94,0,0,1563361258.478625,0.0
95,0,0,1563361259.027192,0.0
96,0,0,1563361259.777011,0.0
97,0,0,1563361261.0692391,3.0
98,0,0,1563361261.929875,3.0
99,0,0,1563361262.487714,3.0
