step,robot_task_count,task_count,timestamp,h_action
0,0,0,1563371585.188843,
1,0,0,1563371687.3239129,1.0
2,0,0,1563371697.516989,2.0
3,0,0,1563371699.8678489,2.0
4,0,0,1563371703.816844,1.0
5,0,0,1563371705.627914,0.0
6,0,0,1563371717.1926908,2.0
7,0,0,1563371718.755471,2.0
8,0,0,1563371719.938122,2.0
9,0,0,1563371722.35696,2.0
10,0,0,1563371723.7965991,1.0
11,1,1,1563371724.539527,1.0
12,0,0,1563371727.092175,3.0
13,0,0,1563371766.894103,0.0
14,0,0,1563371769.48108,1.0
15,0,0,1563371771.7314339,0.0
16,0,0,1563371773.261354,0.0
17,0,0,1563371774.442591,3.0
18,0,0,1563371776.006388,3.0
19,0,0,1563371777.92994,2.0
20,0,0,1563371780.506144,2.0
21,0,0,1563371781.844991,1.0
22,0,0,1563371782.6658401,0.0
23,0,0,1563371783.4648929,0.0
24,0,0,1563371784.769289,3.0
25,0,0,1563371786.232256,2.0
26,0,0,1563371787.9759371,1.0
27,0,0,1563371790.090944,1.0
28,0,0,1563371791.654422,0.0
29,0,0,1563371792.824694,3.0
30,0,0,1563371793.8930209,3.0
31,0,0,1563371794.714619,3.0
32,0,0,1563371795.547543,3.0
33,0,0,1563371796.200008,3.0
34,0,0,1563371797.5947142,2.0
35,0,0,1563371800.024396,2.0
36,0,0,1563371800.857017,2.0
37,0,0,1563371801.925409,1.0
38,0,0,1563371802.4431932,1.0
39,0,0,1563371803.219458,1.0
40,0,0,1563371804.8508632,0.0
41,0,0,1563371806.0205922,0.0
42,0,0,1563371807.573751,0.0
43,0,0,1563371808.507015,3.0
44,0,0,1563371809.0918982,3.0
45,0,0,1563371810.3180668,3.0
46,0,0,1563371811.8368158,2.0
47,0,0,1563371813.006838,2.0
48,1,0,1563371814.086866,0.0
49,1,1,1563371815.05439,0.0
50,0,0,1563371817.2135181,1.0
51,0,0,1563371849.7692611,3.0
52,0,0,1563371851.0857768,0.0
53,0,0,1563371851.6817422,0.0
54,0,0,1563371852.603903,1.0
55,0,0,1563371853.279165,1.0
56,0,0,1563371854.4154902,2.0
57,0,0,1563371855.8102772,3.0
58,1,0,1563371856.361634,3.0
59,0,0,1563371857.396705,0.0
60,0,0,1563371858.49821,2.0
61,0,0,1563371858.8365288,2.0
62,0,0,1563371859.319873,2.0
63,0,0,1563371860.1528141,1.0
64,0,0,1563371860.636595,1.0
65,0,0,1563371863.2014232,0.0
66,0,0,1563371864.101368,1.0
67,0,0,1563371865.653941,2.0
68,1,0,1563371866.790081,0.0
69,1,0,1563371867.77936,0.0
70,0,0,1563371868.275051,0.0
71,1,0,1563371869.1413,3.0
72,0,0,1563371869.646951,3.0
73,1,1,1563371870.480031,3.0
74,0,0,1563371872.0888221,3.0
75,1,0,1563371872.572505,3.0
76,1,0,1563371873.5175319,2.0
77,1,0,1563371873.933727,2.0
78,1,0,1563371875.463796,1.0
79,1,0,1563371876.003683,1.0
80,0,0,1563371876.588362,1.0
81,1,0,1563371877.97227,0.0
82,1,0,1563371878.535048,0.0
83,1,0,1563371878.940074,0.0
84,1,0,1563371879.749726,3.0
85,0,0,1563371880.088019,3.0
86,0,0,1563371881.1562471,3.0
87,0,0,1563371882.775936,2.0
88,0,0,1563371883.226012,2.0
89,0,0,1563371883.968512,2.0
90,0,0,1563371884.249677,2.0
91,1,0,1563371885.1046588,1.0
92,1,0,1563371885.4196339,1.0
93,0,0,1563371886.038047,1.0
94,1,1,1563371888.06335,1.0
95,0,0,1563371890.785941,2.0
96,0,0,1563371892.112895,3.0
97,0,0,1563371892.9906518,3.0
98,0,0,1563371894.3851898,0.0
99,0,0,1563371896.331815,2.0
