step,robot_task_count,task_count,timestamp,h_action
0,0,0,1563415745.280904,
1,0,0,1563415898.665476,2.0
2,0,0,1563415908.048044,0.0
3,0,0,1563415911.6670568,3.0
4,1,1,1563415914.219996,0.0
5,0,0,1563415922.1063218,2.0
6,0,0,1563415933.153569,3.0
7,0,0,1563415937.6534998,2.0
8,0,0,1563415943.7060192,0.0
9,0,0,1563415947.485672,1.0
10,0,0,1563415949.6454248,0.0
11,1,0,1563415951.310821,0.0
12,1,0,1563416040.9931672,3.0
13,1,0,1563416042.108293,3.0
14,1,1,1563416043.006712,3.0
15,0,0,1563416045.907516,2.0
16,0,0,1563416054.346581,1.0
17,0,0,1563416057.423126,0.0
18,0,0,1563416059.06945,3.0
19,0,0,1563416061.370806,0.0
20,0,0,1563416062.6902568,3.0
21,0,0,1563416067.558887,0.0
22,0,0,1563416069.827219,0.0
23,0,0,1563416071.1104372,0.0
24,0,0,1563416072.2974432,0.0
25,0,0,1563416074.734137,2.0
26,0,0,1563416075.917053,3.0
27,0,0,1563416077.028021,3.0
28,0,0,1563416077.9233332,3.0
29,0,0,1563416079.401705,3.0
30,0,0,1563416080.896571,3.0
31,0,0,1563416082.734586,3.0
32,0,0,1563416084.053347,0.0
33,0,0,1563416086.042864,3.0
34,0,0,1563416087.140486,3.0
35,0,0,1563416088.0754318,3.0
36,0,0,1563416088.8316438,3.0
37,0,0,1563416089.3511949,3.0
38,0,0,1563416089.998772,3.0
39,0,0,1563416090.86112,3.0
40,0,0,1563416092.508737,2.0
41,0,0,1563416094.2339141,3.0
42,0,0,1563416096.391165,3.0
43,0,0,1563416097.367018,3.0
44,0,0,1563416098.812236,2.0
45,0,0,1563416100.39518,1.0
46,0,0,1563416102.0741918,0.0
47,0,0,1563416104.37165,3.0
48,0,0,1563416106.014522,0.0
49,0,0,1563416107.544519,3.0
50,0,0,1563416109.265731,3.0
51,0,0,1563416110.311179,3.0
52,0,0,1563416142.4964979,2.0
53,0,0,1563416144.836763,2.0
54,0,0,1563416146.276545,1.0
55,0,0,1563416148.3127491,1.0
56,0,0,1563416150.641514,1.0
57,0,0,1563416154.466829,0.0
58,0,0,1563416155.8054268,1.0
59,0,0,1563416157.728723,1.0
60,0,0,1563416158.966219,2.0
61,0,0,1563416160.0801,2.0
62,0,0,1563416162.599883,3.0
63,0,0,1563416166.4474208,0.0
64,0,0,1563416167.8418372,3.0
65,0,0,1563416169.597355,2.0
66,0,0,1563416170.6096551,2.0
67,0,0,1563416172.005951,2.0
68,0,0,1563416172.893131,2.0
69,0,0,1563416174.8396878,2.0
70,0,0,1563416176.740986,2.0
71,0,0,1563416179.170641,3.0
72,0,0,1563416180.802273,1.0
73,0,0,1563416182.287292,0.0
74,0,0,1563416184.559725,1.0
75,0,0,1563416186.146092,3.0
76,0,0,1563416187.529665,0.0
77,0,0,1563416188.53037,0.0
78,0,0,1563416189.858405,3.0
79,0,0,1563416193.030736,3.0
80,0,0,1563416194.470059,3.0
81,0,0,1563416196.101967,2.0
82,0,0,1563416197.4850152,3.0
83,0,0,1563416198.801183,1.0
84,0,0,1563416200.106762,0.0
85,0,0,1563416203.0312161,2.0
86,0,0,1563416205.112463,3.0
87,0,0,1563416206.9913611,1.0
88,0,0,1563416208.330091,0.0
89,0,0,1563416210.14122,2.0
90,0,0,1563416211.446164,3.0
91,0,0,1563416212.4587011,0.0
92,0,0,1563416214.326196,0.0
93,0,0,1563416215.338015,0.0
94,0,0,1563416216.013194,0.0
95,0,0,1563416216.632554,0.0
96,0,0,1563416217.2621062,0.0
97,0,0,1563416217.858827,0.0
98,0,0,1563416218.590011,0.0
99,0,0,1563416219.186186,0.0
