h1,h2,r1,r2,t
0.1821055878270697,0.2748001718802744,0.3133062850651437,0.44680851063829785,0.7962962962962962
0.22136805260230863,0.30294928048382763,0.6543138582723843,0.43617021276595735,0.888888888888889
0.34816317184075163,0.8885062590252577,0.16061569054847746,0.9999999999999999,0.9444444444444443
0.48781912581840264,0.8253677180586859,0.3130223199685761,0.8723404255319148,0.9259259259259259
0.5968347952874717,0.8422278829451458,0.3809744986824827,0.7978723404255318,0.8333333333333334
0.7132272189846839,0.9752792371555109,0.4396485745951465,0.648936170212766,0.7222222222222222
0.8013276755630119,1.0,0.12178148788009635,0.723404255319149,0.7222222222222222
0.8512732319857178,0.8404918339953057,0.031020850140919376,0.5425531914893617,0.5925925925925927
0.8413051504091438,0.4919190483373035,0.2663389738636962,0.276595744680851,0.5370370370370371
0.7810363440086343,0.6432435533736478,0.15314391382935422,0.2872340425531914,0.4629629629629629
0.7568077837959071,0.5314130851169623,0.18690787757302918,0.4893617021276596,0.5925925925925927
0.6765303785814724,0.6409078940577099,0.3523318709337294,0.11702127659574468,0.2592592592592592
0.6114387591537607,0.7525290458752953,0.29591543983489144,0.31914893617021267,0.4629629629629629
0.5708257198001674,0.8450132275262044,0.17390899043123598,0.5212765957446809,0.4814814814814815
0.5745736810868116,0.7815465220171747,0.23646450036463873,0.4148936170212766,0.5740740740740741
0.5476813578648738,0.6454195262936546,0.3156410152829078,0.4680851063829786,0.5925925925925927
0.5013085151624164,0.7450531063002196,0.19288908389099546,0.44680851063829785,0.5185185185185185
0.45863923769644943,0.5670987555345794,0.2089588809460795,0.25531914893617014,0.35185185185185186
0.3686180677904297,0.5793328428331705,0.15712819759684904,0.1914893617021276,0.38888888888888884
0.31968661061859877,0.4840567730596185,0.23807084890646302,0.25531914893617014,0.38888888888888884
0.22929625250603913,0.16112936663639357,0.310054095474226,0.43617021276595735,0.4999999999999999
0.25241724809914684,0.22299439677596258,0.28716977564989776,0.36170212765957444,0.7407407407407406
