h1,h2,r1,r2
0.6432365687853252,0.9380731478001235,0.3505953232321555,0.4903846153846155
0.5837701427691339,0.46840608173886367,0.6168120907107328,0.1634615384615385
0.4710543949333667,0.7650968043822798,0.1961277087405715,0.25961538461538464
0.39075350978632883,0.6888478938208932,0.29189555018473534,0.18269230769230776
0.29928831584294047,0.6489015081051169,0.08692745063090723,0.1538461538461539
0.13138597382385556,0.04039360082912724,0.5794201255936304,0.19230769230769235
0.11183492386006152,0.22487823353143735,0.5507606693718625,0.4134615384615385
0.16784289991029488,0.20137369275438097,0.541224526109616,0.4807692307692308
0.22382655873420532,0.636523485770278,0.3880063251717416,0.7211538461538463
0.3368151998875971,0.9999999999999999,0.09919896772227466,0.6730769230769231
0.4284749316415709,0.7545631622557096,0.708084002880442,0.6634615384615385
0.5506554843451053,0.8939980815530032,0.33236668997156205,0.8076923076923077
0.6604396554519196,0.7535237315692369,0.3490381984229407,0.6730769230769231
0.7747495325688718,0.9000523555634655,0.4475358952468871,0.6634615384615385
0.8966652976968883,0.7690138460105923,0.4555105829239927,0.7980769230769231
1.0,0.7879186961032509,0.4387707280769373,0.4615384615384616
0.9041252823500159,0.8088075306932979,0.3930913143853314,0.1538461538461539
0.8037870027127196,0.9192401477410311,0.32138068488309646,0.4038461538461539
0.687450690068842,0.3410699960106969,0.5060311844651213,0.20192307692307693
0.5206426232342953,0.599451958248201,0.6315867192147921,0.18269230769230776
0.4002453337944566,0.7158309929812873,0.26217816315749154,0.2980769230769231
0.31309779848044067,0.7446053074892744,0.3878192196077461,0.21153846153846162
0.2152236644438901,0.3355328104988058,0.6516115963015296,0.2211538461538462
0.14398770088730722,0.18986022138994282,0.9414585606465928,0.24038461538461536
0.087496082224647,0.10623994681541307,0.7544148207231614,0.30769230769230776
0.04960714169917929,0.16325669624948883,0.2715909704651447,0.4807692307692308
0.13241270115749892,0.28907212045531083,0.6982398586307841,0.5192307692307694
0.17405460027883593,0.19771253216238796,0.6096192292758627,0.5192307692307694
0.21002788375284862,0.445604539004287,0.28003236849990754,0.5769230769230771
0.2862326672214572,0.8227087242958525,0.27506545071598576,0.7115384615384617
0.39646805797226403,0.9672397635416786,0.23050156479792316,0.6826923076923077
0.5070655052038822,0.6043868895564154,0.2801749006381742,0.7115384615384617
