step,robot_task_count,task_count,timestamp,h_action
0,0,0,1563333170.4231691,
1,0,0,1563333176.897433,3.0
2,0,0,1563333177.946646,0.0
3,0,0,1563333178.995509,0.0
4,0,0,1563333181.1186728,1.0
5,0,0,1563333181.642751,2.0
6,0,0,1563333182.4234638,2.0
7,0,0,1563333182.8583481,2.0
8,0,0,1563333183.6753302,1.0
9,0,0,1563333184.0695832,1.0
10,0,0,1563333186.061422,0.0
11,0,0,1563333187.9460852,2.0
12,0,0,1563333188.7091799,2.0
13,0,0,1563333190.2823381,3.0
14,0,0,1563333190.6336021,3.0
15,0,0,1563333191.044939,3.0
16,0,0,1563333192.1348732,0.0
17,0,0,1563333192.290988,0.0
18,0,0,1563333192.46129,0.0
19,0,0,1563333193.0845912,0.0
20,0,0,1563333193.5630631,0.0
21,0,0,1563333193.710115,0.0
22,0,0,1563333194.6297112,0.0
23,0,0,1563333196.371647,0.0
24,0,0,1563333197.150175,0.0
25,0,0,1563333197.691479,0.0
26,1,1,1563333198.11803,0.0
27,0,0,1563333199.831397,1.0
28,0,0,1563333200.15892,1.0
29,0,0,1563333236.232524,2.0
30,0,0,1563333237.0687768,2.0
31,0,0,1563333238.0278158,2.0
32,0,0,1563333238.198329,2.0
33,0,0,1563333238.8234088,2.0
34,1,0,1563333239.528359,2.0
35,1,0,1563333242.15875,3.0
36,1,0,1563333242.576545,3.0
37,1,0,1563333242.822762,3.0
38,0,0,1563333243.7487009,0.0
39,0,0,1563333243.896682,0.0
40,0,0,1563333244.044099,0.0
41,0,0,1563333246.601239,0.0
42,0,0,1563333247.124558,0.0
43,0,0,1563333248.478283,1.0
44,0,0,1563333250.00393,3.0
45,0,0,1563333251.1407292,1.0
46,0,0,1563333251.9204988,2.0
47,0,0,1563333252.846584,3.0
48,0,0,1563333253.5261261,0.0
49,0,0,1563333254.362937,0.0
50,0,0,1563333254.961615,0.0
51,0,0,1563333255.46322,0.0
52,0,0,1563333256.615579,0.0
53,0,0,1563333257.354996,0.0
54,0,0,1563333258.030028,0.0
55,0,0,1563333258.562939,0.0
56,0,0,1563333259.133364,0.0
57,0,0,1563333259.5350149,0.0
58,0,0,1563333262.068268,0.0
59,0,0,1563333262.4848,0.0
60,0,0,1563333262.9032168,0.0
61,0,0,1563333263.3217568,0.0
62,0,0,1563333264.068358,0.0
63,0,0,1563333264.461288,0.0
64,0,0,1563333264.755727,0.0
65,1,1,1563333265.05199,0.0
66,0,0,1563333266.649476,1.0
67,0,0,1563333267.616894,2.0
68,0,0,1563333268.009233,2.0
69,0,0,1563333268.6329138,2.0
70,1,0,1563333269.7968829,2.0
71,1,0,1563333272.9039419,0.0
72,1,0,1563333273.246943,0.0
73,0,0,1563333273.460385,0.0
74,0,0,1563333274.22327,3.0
75,0,0,1563333274.378484,3.0
76,0,0,1563333274.541047,3.0
77,0,0,1563333275.648854,3.0
78,0,0,1563333276.345595,3.0
79,0,0,1563333277.043045,3.0
80,0,0,1563333277.1985128,3.0
81,0,0,1563333295.292972,3.0
82,0,0,1563333296.669614,3.0
83,0,0,1563333297.4088662,3.0
84,1,1,1563333297.555115,3.0
85,0,0,1563333299.9571168,3.0
86,0,0,1563333301.3006148,3.0
87,0,0,1563333301.8577,3.0
88,0,0,1563333302.456295,3.0
89,0,0,1563333302.963997,3.0
90,0,0,1563333303.4074,3.0
91,0,0,1563333303.858864,3.0
92,0,0,1563333304.300001,3.0
93,1,1,1563333304.6153111,3.0
94,0,0,1563333306.555197,1.0
95,0,0,1563333307.055208,1.0
96,0,0,1563333307.5487769,1.0
97,0,0,1563333308.2018461,1.0
98,0,0,1563333308.868845,1.0
99,0,0,1563333309.4069738,1.0
